0,449.5,,126,424,,221,424,,336,443
1,429,,127,447.5,,222,445,,337,432
2,438,,128,448,,223,473,,338,419.5
3,428.5,,129,435,,224,459,,339,433
7,432,,130,462,,225,437.5,,340,421
8,434,,131,476,,226,460.5,,341,442
9,434,,132,470.5,,227,458,,342,445
10,424.5,,133,445,,228,459,,343,484
11,430.5,,134,429,,229,422,,344,459.5
14,467.5,,135,461,,230,475,,345,491
15,434.5,,136,490,,231,457,,346,530
16,434,,137,531,,232,448,,347,492.5
17,427,,138,486,,233,459.5,,348,519
18,443,,139,510.5,,234,451.5,,349,479
19,442,,140,547,,235,446.5,,350,493
20,458,,141,546.5,,236,456,,351,492
21,426.5,,142,551,,237,461,,352,496
22,464,,143,525,,238,453,,353,481
23,469.5,,144,557.5,,239,429,,354,481
24,456,,145,553.5,,240,449.5,,355,474
25,427,,146,495,,241,434,,356,496
26,484,,147,495,,242,435,,357,476.5
27,433,,148,482,,243,430,,358,433
29,452.5,,149,493.5,,244,443,,359,434
30,434,,150,485,,245,445,,360,434
31,429.5,,151,550,,246,436.5,,361,434
33,443,,152,524.5,,247,434.5,,362,445
35,434,,153,490,,248,442,,363,430
36,437,,154,515,,249,448,,,
37,433,,155,551,,250,432,,,
38,443,,156,524,,251,436,,,
39,443,,157,537.5,,252,445,,,
40,440,,158,578,,253,447.5,,,
41,445,,159,582.5,,254,449,,,
42,445,,160,594.5,,255,440,,,
43,445,,161,582.5,,256,442.5,,,
44,432,,162,589,,257,441,,,
45,485,,163,566,,258,445,,,
46,443,,164,549.5,,259,455,,,
47,445,,165,525,,260,422.5,,,
48,445,,166,596,,261,447.5,,,
49,447,,167,596,,262,423.5,,,
51,460,,168,589,,263,425,,,
53,470,,169,564,,264,452.5,,,
55,479,,170,524,,265,459.5,,,
57,450,,171,551,,266,464.5,,,
59,434,,172,482,,267,433,,,
60,443,,173,534,,268,442.5,,,
63,430,,174,503,,269,442.5,,,
64,434,,175,524.5,,270,452,,,
65,438.5,,176,544.5,,271,434,,,
66,436,,177,554.5,,272,444,,,
67,445,,178,482,,273,445,,,
68,445,,179,546.5,,274,434,,,
70,458.5,,180,551,,275,445,,,
72,746,,181,583,,276,434,,,
75,490,,182,552,,277,422,,,
77,445,,183,551,,278,428,,,
78,462,,184,523,,279,432,,,
79,459,,185,514,,280,432,,,
80,800,,186,509,,281,430,,,
81,445,,187,486,,282,425.5,,,
82,491,,188,495,,283,434,,,
84,445,,189,486,,284,434,,,
88,445,,190,495,,285,431,,,
90,445,,191,495,,286,445,,,
92,560,,192,482,,287,445,,,
103,445,,193,497,,288,432,,,
104,445,,194,496,,289,434,,,
105,445,,195,492,,290,434,,,
106,434,,196,466,,291,434,,,
107,437.5,,197,464,,292,438,,,
108,445,,198,448,,293,445,,,
109,447,,199,460,,294,429,,,
110,445,,200,525,,295,423.5,,,
111,439,,201,448,,296,449,,,
112,445,,202,514,,297,445.5,,,
113,434,,203,445,,298,432,,,
114,427,,204,454,,299,439,,,
115,434,,205,462,,300,432,,,
116,429,,206,445,,301,439,,,
117,426,,207,453.5,,302,418.5,,,
118,457.5,,208,445,,303,443,,,
119,451.5,,209,445,,304,434,,,
120,434,,210,432,,305,445.5,,,
121,433,,211,422,,306,445,,,
122,431,,212,462,,307,442,,,
123,475,,213,422,,308,434,,,
124,532.5,,214,465,,309,462,,,
125,754.5,,215,457,,310,431.5,,,
,,,216,431,,311,430,,,
,,,217,460,,312,440,,,
,,,218,442,,313,430,,,
,,,219,445,,314,443,,,
,,,220,432.5,,315,454.5,,,
,,,,,,316,430,,,
,,,,,,317,433,,,
,,,,,,318,426.5,,,
,,,,,,319,441,,,
,,,,,,320,432,,,
,,,,,,321,446,,,
,,,,,,322,440,,,
,,,,,,323,426.5,,,
,,,,,,324,431.5,,,
,,,,,,325,430,,,
,,,,,,326,422.5,,,
,,,,,,327,420,,,
,,,,,,328,445,,,
,,,,,,329,441,,,
,,,,,,330,434,,,
,,,,,,331,433,,,
,,,,,,332,434,,,
,,,,,,333,440.5,,,
,,,,,,334,443,,,
,,,,,,335,445,,,
